Order ID,Order Date,Ship Date,Customer ID
CA-2016-152156,11/8/2016,11/11/2016,CG-12520
CA-2016-138688,6/12/2016,6/16/2016,DV-13045
US-2015-108966,10/11/2015,10/18/2015,SO-20335
CA-2014-115812,6/9/2014,6/14/2014,BH-11710
CA-2017-114412,4/15/2017,4/20/2017,AA-10480
CA-2016-161389,12/5/2016,12/10/2016,IM-15070
US-2015-118983,11/22/2015,11/26/2015,HP-14815
CA-2014-105893,11/11/2014,11/18/2014,PK-19075
CA-2014-167164,5/13/2014,5/15/2014,AG-10270
CA-2014-143336,8/27/2014,9/1/2014,ZD-21925
CA-2016-137330,12/9/2016,12/13/2016,KB-16585
US-2017-156909,7/16/2017,7/18/2017,SF-20065
CA-2015-106320,9/25/2015,9/30/2015,EB-13870
CA-2016-121755,1/16/2016,1/20/2016,EH-13945
US-2015-150630,9/17/2015,9/21/2015,TB-21520
CA-2017-107727,10/19/2017,10/23/2017,MA-17560
CA-2016-117590,12/8/2016,12/10/2016,GH-14485
CA-2015-117415,12/27/2015,12/31/2015,SN-20710
CA-2017-120999,9/10/2017,9/15/2017,LC-16930
CA-2016-101343,7/17/2016,7/22/2016,RA-19885
CA-2017-139619,9/19/2017,9/23/2017,ES-14080
CA-2016-118255,3/11/2016,3/13/2016,ON-18715
CA-2014-146703,10/20/2014,10/25/2014,PO-18865
CA-2016-169194,6/20/2016,6/25/2016,LH-16900
CA-2015-115742,4/18/2015,4/22/2015,DP-13000
CA-2016-105816,12/11/2016,12/17/2016,JM-15265
CA-2016-111682,6/17/2016,6/18/2016,TB-21055
CA-2015-135545,11/24/2015,11/30/2015,KM-16720
US-2015-164175,4/30/2015,5/5/2015,PS-18970
CA-2014-106376,12/5/2014,12/10/2014,BS-11590
CA-2016-119823,6/4/2016,6/6/2016,KD-16270
CA-2016-106075,9/18/2016,9/23/2016,HM-14980
CA-2017-114440,9/14/2017,9/17/2017,TB-21520
US-2015-134026,4/26/2015,5/2/2015,JE-15745
US-2017-118038,12/9/2017,12/11/2017,KB-16600
US-2014-147606,11/26/2014,12/1/2014,JE-15745
CA-2016-127208,6/12/2016,6/15/2016,SC-20770
CA-2014-139451,10/12/2014,10/16/2014,DN-13690
CA-2015-149734,9/3/2015,9/8/2015,JC-16105
US-2017-119662,11/13/2017,11/16/2017,CS-12400
CA-2017-140088,5/28/2017,5/30/2017,PO-18865
CA-2017-155558,10/26/2017,11/2/2017,PG-18895
CA-2016-159695,4/5/2016,4/10/2016,GM-14455
CA-2016-109806,9/17/2016,9/22/2016,JS-15685
CA-2015-149587,1/31/2015,2/5/2015,KB-16315
US-2017-109484,11/6/2017,11/12/2017,RB-19705
CA-2017-161018,11/9/2017,11/11/2017,PN-18775
CA-2017-157833,6/17/2017,6/20/2017,KD-16345
CA-2016-149223,9/6/2016,9/11/2016,ER-13855
CA-2016-158568,8/29/2016,9/2/2016,RB-19465
CA-2016-129903,12/1/2016,12/4/2016,GZ-14470
US-2015-156867,11/13/2015,11/17/2015,LC-16870
