Order ID,Product ID,Customer ID,Ship Mode,Sales,Quantity,Discount,Profit
CA-2016-152156,FUR-BO-10001798,CG-12520,Second Class,261.96,2,0.0,41.9136
CA-2016-152156,FUR-CH-10000454,CG-12520,Second Class,731.94,3,0.0,219.582
CA-2016-138688,OFF-LA-10000240,DV-13045,Second Class,14.62,2,0.0,6.8714
US-2015-108966,FUR-TA-10000577,SO-20335,Standard Class,957.5775,5,0.45,-383.031
US-2015-108966,OFF-ST-10000760,SO-20335,Standard Class,22.368,2,0.2,2.5164
CA-2014-115812,FUR-FU-10001487,BH-11710,Standard Class,48.86,7,0.0,14.1694
CA-2014-115812,OFF-AR-10002833,BH-11710,Standard Class,7.28,4,0.0,1.9656
CA-2014-115812,TEC-PH-10002275,BH-11710,Standard Class,907.152,6,0.2,90.7152
CA-2014-115812,OFF-BI-10003910,BH-11710,Standard Class,18.504,3,0.2,5.7825
CA-2014-115812,OFF-AP-10002892,BH-11710,Standard Class,114.9,5,0.0,34.47
CA-2014-115812,FUR-TA-10001539,BH-11710,Standard Class,1706.184,9,0.2,85.3092
CA-2014-115812,TEC-PH-10002033,BH-11710,Standard Class,911.424,4,0.2,68.3568
CA-2017-114412,OFF-PA-10002365,AA-10480,Standard Class,15.552,3,0.2,5.4432
CA-2016-161389,OFF-BI-10003656,IM-15070,Standard Class,407.976,3,0.2,132.5922
US-2015-118983,OFF-AP-10002311,HP-14815,Standard Class,68.81,5,0.8,-123.858
US-2015-118983,OFF-BI-10000756,HP-14815,Standard Class,2.544,3,0.8,-3.816
CA-2014-105893,OFF-ST-10004186,PK-19075,Standard Class,665.88,6,0.0,13.3176
CA-2014-167164,OFF-ST-10000107,AG-10270,Second Class,55.5,2,0.0,9.99
CA-2014-143336,OFF-AR-10003056,ZD-21925,Second Class,8.56,2,0.0,2.4824
CA-2014-143336,TEC-PH-10001949,ZD-21925,Second Class,213.48,3,0.2,16.011
CA-2014-143336,OFF-BI-10002215,ZD-21925,Second Class,22.72,4,0.2,7.384
CA-2016-137330,OFF-AR-10000246,KB-16585,Standard Class,19.46,7,0.0,5.0596
CA-2016-137330,OFF-AP-10001492,KB-16585,Standard Class,60.34,7,0.0,15.6884
US-2017-156909,FUR-CH-10002774,SF-20065,Second Class,71.372,2,0.3,-1.0196
CA-2015-106320,FUR-TA-10000577,EB-13870,Standard Class,1044.63,3,0.0,240.2649
CA-2016-121755,OFF-BI-10001634,EH-13945,Second Class,11.648,2,0.2,4.2224
CA-2016-121755,TEC-AC-10003027,EH-13945,Second Class,90.57,3,0.0,11.7741
US-2015-150630,FUR-BO-10004834,TB-21520,Standard Class,3083.43,7,0.5,-1665.0522
US-2015-150630,OFF-BI-10000474,TB-21520,Standard Class,9.618,2,0.7,-7.0532
US-2015-150630,FUR-FU-10004848,TB-21520,Standard Class,124.2,3,0.2,15.525
US-2015-150630,OFF-EN-10001509,TB-21520,Standard Class,3.264,2,0.2,1.1016
US-2015-150630,OFF-AR-10004042,TB-21520,Standard Class,86.304,6,0.2,9.7092
US-2015-150630,OFF-BI-10001525,TB-21520,Standard Class,6.858,6,0.7,-5.715
