Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,Region
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Consumer,United States,South
CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Corporate,United States,West
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Consumer,United States,South
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,United States,West
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Consumer,United States,South
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Consumer,United States,West
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,United States,Central
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Consumer,United States,Central
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Consumer,United States,West
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,United States,West
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,United States,Central
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Consumer,United States,East
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Consumer,United States,West
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,United States,West
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,East
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Home Office,United States,Central
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,United States,Central
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,United States,Central
CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Corporate,United States,Central
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Corporate,United States,West
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Corporate,United States,South
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,United States,Central
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Consumer,United States,Central
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,United States,East
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,United States,Central
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,United States,East
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,East
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,United States,West
